Scene,Tile,T,Z,C,X [micron],Y [micron],Z [micron],Time [s]
0,303,0,0,0,-36889.6,6547.2,3767.3,50.143
0,304,0,0,0,-36572.8,6547.2,3767.8,50.153
0,305,0,0,0,-36256.0,6547.2,3768.2,50.163
0,306,0,0,0,-35939.2,6547.2,3768.6,50.173
0,307,0,0,0,-35622.4,6547.2,3769.0,50.183
0,308,0,0,0,-35305.6,6547.2,3769.4,50.193
0,309,0,0,0,-34988.8,6547.2,3769.8,50.203
0,310,0,0,0,-34672.0,6547.2,3770.2,50.213
0,311,0,0,0,-34355.2,6547.2,3770.6,50.244
0,312,0,0,0,-34038.4,6547.2,3771.0,50.254
0,313,0,0,0,-33721.6,6547.2,3771.4,50.264
0,314,0,0,0,-33404.8,6547.2,3771.8,50.277
0,315,0,0,0,-33088.0,6547.2,3772.2,50.296
0,316,0,0,0,-32771.2,6547.2,3772.5,50.312
0,317,0,0,0,-32454.4,6547.2,3772.9,50.335
0,318,0,0,0,-32137.6,6547.2,3773.3,50.351
0,319,0,0,0,-31820.8,6547.2,3773.6,50.361
0,320,0,0,0,-31504.0,6547.2,3774.0,50.371
0,321,0,0,0,-31187.2,6547.2,3774.3,50.382
0,322,0,0,0,-30870.4,6547.2,3774.7,50.392
0,323,0,0,0,-30553.6,6547.2,3775.0,50.402
0,324,0,0,0,-30236.8,6547.2,3775.4,50.426
0,325,0,0,0,-29920.0,6547.2,3775.7,50.441
0,326,0,0,0,-29603.2,6547.2,3776.0,50.458
0,327,0,0,0,-29286.4,6547.2,3776.4,50.491
0,328,0,0,0,-28969.6,6547.2,3776.7,50.501
0,329,0,0,0,-28652.8,6547.2,3777.0,50.517
0,330,0,0,0,-28336.0,6547.2,3777.3,50.527
0,331,0,0,0,-28019.2,6547.2,3777.6,50.537
0,332,0,0,0,-27702.4,6547.2,3777.9,50.547
0,333,0,0,0,-27702.4,6784.8,3778.2,56.812
0,334,0,0,0,-28019.2,6784.8,3777.9,56.822
0,335,0,0,0,-28336.0,6784.8,3777.6,56.832
0,336,0,0,0,-28652.8,6784.8,3777.3,56.842
0,337,0,0,0,-28969.6,6784.8,3776.9,56.852
0,338,0,0,0,-29286.4,6784.8,3776.6,56.863
0,339,0,0,0,-29603.2,6784.8,3776.3,56.876
0,340,0,0,0,-29920.0,6784.8,3775.9,56.889
0,341,0,0,0,-30236.8,6784.8,3775.6,56.901
0,342,0,0,0,-30553.6,6784.8,3775.3,56.911
0,343,0,0,0,-30870.4,6784.8,3774.9,56.921
0,344,0,0,0,-31187.2,6784.8,3774.6,56.931
0,345,0,0,0,-31504.0,6784.8,3774.2,56.941
0,346,0,0,0,-31820.8,6784.8,3773.8,56.951
0,347,0,0,0,-32137.6,6784.8,3773.5,56.969
0,348,0,0,0,-32454.4,6784.8,3773.1,56.980
0,349,0,0,0,-32771.2,6784.8,3772.8,56.990
0,350,0,0,0,-33088.0,6784.8,3772.4,57.062
0,351,0,0,0,-33404.8,6784.8,3772.0,57.072
0,352,0,0,0,-33721.6,6784.8,3771.6,57.082
0,353,0,0,0,-34038.4,6784.8,3771.2,57.092
0,354,0,0,0,-34355.2,6784.8,3770.8,57.102
0,355,0,0,0,-34672.0,6784.8,3770.5,57.112
